Trial  Reward  #Clicks
0  -87.9772508098  12
1  -83.9790641511  16
2  -78.9878835835  21
3  -67.9827732582  32
4  -63.9840920518  36
5  -56.9812896153  43
6  10.3035615671  43
7  22.1708414728  41
8  24.2248295871  43
9  26.4578192099  44
10  24.0118196879  42
11  24.1823809171  43
12  24.077784097  43
13  24.6316774231  43
14  24.6658259357  44
15  25.392646077  44
16  23.9623649267  42
17  23.7508057005  43
18  25.4561130206  44
19  25.2095563084  43
20  24.8862045943  43
21  24.2544200193  43
22  24.8165558056  43
23  23.2989870016  41
24  24.638106542  43
25  23.7923476999  43
26  25.7123711085  44
27  24.78457506  43
28  26.015528795  44
29  23.1064678585  42
30  25.7757556275  44
31  24.5897233006  43
32  24.3103038995  43
33  24.7039637991  43
34  24.1605383975  43
35  23.8587572018  42
36  23.8098217156  43
37  25.1480922826  44
38  26.4047624935  45
39  26.7168797343  44
40  25.6647296885  44
41  24.5209811825  43
42  24.259035797  43
43  23.7713294264  43
44  25.1040528177  43
45  25.7854817306  44
46  24.2434575472  43
47  24.4566899928  43
48  24.4925446947  43
49  24.5059799049  43
50  24.3285774338  42
51  24.4236377274  43
52  25.8515038369  44
53  24.6151925027  43
54  23.8004253109  43
55  23.4703724768  42
56  26.8136709445  45
57  25.2617310815  43
58  25.2624152057  44
59  24.3237391096  43
60  25.9762122598  44
61  25.999373573  44
62  26.2080973929  45
63  25.7875423456  44
64  25.7214378148  44
65  26.4190219497  45
66  25.1893045836  44
67  26.7889435639  45
68  24.1004508626  43
69  24.7766622982  43
70  24.3689902162  43
71  24.6916825334  43
72  25.895188876  44
