Trial  Reward  #Clicks
0  -60.9587064619  39
1  -39.9598575013  60
2  -16.9595697415  83
3  4.02820046502  104
4  24.0333801423  124
5  50.0351067014  150
6  82.0189921499  182
7  148.610856604  188
8  162.413257672  188
9  161.595553535  187
10  161.728389235  188
11  164.202582932  189
12  164.408475103  189
13  163.578685053  188
14  163.212976818  189
15  164.96068625  189
16  164.589907687  189
17  162.559871314  188
18  164.465451553  189
19  161.938419393  187
20  161.827344092  187
21  162.509225581  188
22  164.444986072  188
23  162.374087801  187
24  161.118159948  187
25  164.196108336  189
26  166.495090817  191
27  163.709074795  189
28  164.964173899  190
29  165.424158015  190
30  164.239450724  190
31  165.330526716  191
32  165.119167108  191
33  165.540988513  190
34  163.685334607  189
35  163.534870738  190
36  165.794395589  191
37  166.495234697  191
38  164.247329589  189
39  162.006186837  187
40  165.20718709  190
41  164.388654205  190
42  163.530951449  189
43  165.514117498  191
44  166.370634683  191
45  165.487787472  191
46  163.803316144  189
47  166.742564286  191
48  165.706916596  191
49  164.384159396  189
