Trial  Reward  #Clicks
0  -92.8820500515  7
1  -79.886930739  20
2  -69.9353308903  30
3  -58.8792029837  41
4  -50.9101140047  49
5  -40.8812366035  59
6  -32.8938450463  67
7  -20.8877441869  79
8  -1.9556670883  98
9  10.062228766  110
10  29.102901162  129
11  42.1151028808  142
12  53.1122558131  153
13  70.1167297767  170
14  79.1199835684  179
15  97.113475985  197
16  109.110222193  209
17  119.079311172  219
18  133.119576844  233
19  153.102901162  253
20  187.543074101  259
21  232.701366999  261
22  231.728479218  258
23  229.402965831  257
24  235.612156166  262
25  233.914624573  261
26  233.177640757  261
27  235.028914006  262
28  232.96533085  261
29  235.885340448  263
30  235.02796634  263
31  237.543692321  265
32  235.497598295  264
33  236.551285858  265
34  236.995835147  265
35  237.026746168  265
36  237.499631915  266
37  239.725497932  267
38  239.414354102  267
39  238.350770945  267
40  238.200958242  265
41  240.533796727  269
42  239.447977972  268
43  239.37666706  269
44  245.189301533  274
45  243.746785864  273
46  243.94228587  274
47  246.287187789  276
48  242.946218891  274
49  244.020783594  274
50  244.879109437  276
51  244.737837937  274
52  242.035698162  273
53  246.440522722  276
54  245.438761607  276
55  246.756819744  277
56  246.865821765  277
57  243.952726474  275
58  248.803592999  279
59  246.911374849  277
60  246.925069245  278
61  251.471433743  281
62  251.69174391  282
63  250.059288152  281
64  248.862299536  281
65  252.95231975  284
66  252.850366255  283
67  250.729300801  283
68  251.713031842  284
69  253.808746192  285
70  255.116502011  287
71  255.285699179  287
72  255.368264143  287
73  255.313356408  287
74  254.669646598  286
75  255.258448673  287
76  258.899852359  290
77  256.123147881  290
78  258.439172398  292
79  260.995843281  295
80  260.133722704  294
81  260.181716131  294
82  262.137924162  295
83  260.756282868  295
84  261.557801576  296
85  260.140230287  294
86  264.519703742  298
87  259.950696922  294
88  262.335864512  296
89  262.942021499  298
90  262.497065487  298
91  264.004791208  298
92  265.835594041  300
93  260.128707797  295
94  266.075561177  300
95  263.503300565  298
96  260.887247984  295
97  266.317427715  301
98  269.682393326  303
99  267.546954248  301
100  265.319054611  300
101  264.251672652  298
102  263.991235099  299
103  267.228082663  301
104  264.233780865  301
105  263.841560681  299
106  265.238250762  299
107  266.702867811  302
108  263.286789199  299
109  267.60674267  301
110  265.178600626  301
111  266.397686554  300
112  266.154331407  301
113  267.793701473  302
114  267.60267543  301
115  264.536110987  300
116  264.978219932  300
117  264.849829379  299
118  268.11175961  302
119  269.199611985  303
120  268.831665087  305
121  270.382776054  306
122  270.725778571  305
123  271.459781101  306
124  274.013739135  308
125  271.454086966  306
126  267.620709571  303
127  272.87070652  306
128  269.961410031  306
129  273.338304856  307
130  268.947174692  305
131  273.621523019  309
132  270.981746229  307
133  274.051971188  308
134  272.521875648  308
135  270.898367817  307
136  272.943107452  309
137  268.637385253  304
138  274.256419121  309
139  271.897826874  309
140  269.775943905  306
141  273.303464881  309
142  274.385082179  311
143  273.444463877  310
144  274.016724489  310
145  272.496252039  308
146  274.308618074  311
147  276.599559925  312
148  275.826243457  313
149  278.66246792  315
150  278.831937592  316
151  280.901755827  316
152  277.238661553  314
153  278.301431262  314
154  278.49001696  315
155  277.261844819  314
156  275.919655749  314
157  279.923991426  316
158  277.169245974  313
159  278.344137277  314
160  274.224698719  312
161  278.12030488  315
162  275.293841793  313
163  279.89742015  317
164  281.933346077  318
165  281.755473488  319
166  280.936058926  318
167  281.434975007  319
168  282.508319539  319
169  283.073938349  320
170  280.379388043  317
171  282.965481337  322
172  282.532182033  320
173  284.174671672  322
174  284.277438615  323
175  283.336413589  322
176  283.618680018  322
177  284.399590022  322
178  284.794112264  322
179  280.871662321  319
180  286.265505334  323
181  285.804280363  323
182  285.518625924  324
183  287.136573839  324
184  284.938365051  323
185  285.215750792  323
186  283.594138294  320
187  283.802519248  322
188  284.979037447  323
189  285.60376545  323
190  283.100106968  322
191  285.187145896  324
192  285.720361008  324
193  287.276214376  323
194  287.147555386  324
195  286.287875152  323
196  286.364745981  323
197  287.842105691  325
198  281.910573603  321
199  288.886572822  325
200  286.362716428  326
201  286.881830421  325
202  288.544517971  325
203  290.382100892  328
204  287.003847609  325
205  283.529334966  321
206  287.795604941  326
207  287.121529119  327
208  289.101868083  327
209  286.438228798  324
210  287.247341042  326
211  289.32027885  327
212  286.249919672  327
213  286.657725518  325
214  285.877628962  325
215  287.483513444  327
216  286.862580175  326
217  289.436467684  328
218  290.903114285  328
219  290.208702266  329
220  289.350107985  329
221  288.899592056  328
222  290.788149691  330
223  288.983377192  328
224  292.528521518  330
225  291.469819049  330
226  291.136712125  330
227  291.781776326  330
228  290.882778087  328
229  294.24760948  331
230  291.863800347  331
231  291.529607471  330
232  291.980664343  330
233  292.651217935  331
234  288.878983353  327
235  286.501816022  326
236  290.857833707  329
237  290.622747258  329
238  291.774862019  330
239  289.015508385  328
240  292.202601406  331
241  291.183212875  329
242  291.806720707  329
243  291.469139819  329
244  290.339667381  329
245  288.279338016  328
246  291.242460355  330
247  292.550757117  331
248  291.061874916  330
249  289.764832206  330
250  291.226191396  330
251  290.358376683  329
252  292.25818837  332
253  290.464397418  330
254  292.860680775  331
255  291.393627449  331
256  291.057400953  330
257  292.493815762  331
258  292.876543009  331
259  292.745443675  332
260  292.782455555  332
261  293.069468452  333
262  294.306043511  332
263  291.766320816  330
264  295.102274807  333
265  293.861087499  332
266  291.760899185  331
267  296.189179516  335
268  293.998153473  332
269  294.359055912  334
270  292.935656269  333
271  293.656098622  332
272  292.58682133  332
273  296.063095088  335
274  289.234191656  329
275  293.807399936  332
276  293.781101164  334
277  295.757913831  333
278  294.898778608  334
279  292.883591535  330
280  294.341566782  334
281  293.60241106  332
282  296.091565765  335
283  295.567705304  335
284  294.746525561  332
285  297.205989417  335
286  295.270524308  334
287  295.330719454  334
288  295.915995233  334
289  295.878983353  334
290  293.457483111  333
291  293.988526317  331
292  293.396202012  332
293  294.268490688  333
294  295.202194682  334
295  297.503170413  336
296  297.029877942  335
297  295.749917638  335
298  295.859326384  335
299  294.886576889  334
300  296.309163084  335
301  291.666132503  331
302  292.434299845  332
303  295.53570833  334
304  295.995985635  335
305  293.805911326  334
306  294.283271037  335
307  293.336686095  333
308  297.3639366  337
309  297.149727292  336
310  296.184164609  336
311  297.832482602  337
312  297.103633265  337
313  298.393895887  336
314  297.836549842  337
