Trial  Reward  #Clicks
0  -66.980932609  33
1  -66.9892459915  33
2  -65.9835257742  34
3  -63.981619035  36
4  -63.9794834873  36
5  -63.9797122959  36
6  -64.9951950175  35
7  -61.9808563394  38
8  -58.9807800698  41
9  -57.977424209  42
10  -55.9813902264  44
11  -55.9826868089  44
12  -51.9797885655  48
13  -51.9772716699  48
14  -49.9807038003  50
15  -46.9961865218  53
16  -46.979178409  53
17  -43.988101948  56
18  -40.9789496003  59
19  -40.9810851481  59
20  -38.9788733307  61
21  -35.9785682525  64
22  -34.9781106351  65
23  -33.9786445221  66
24  -32.9778818264  67
25  -30.9832206959  69
26  -27.9897036088  72
27  -24.983373235  75
28  -23.9797122959  76
29  -17.9870341741  82
30  -13.9852799741  86
31  -11.9877206002  88
32  -11.9832969655  88
33  -9.98733925236  90
34  -5.98581386107  94
35  -4.979178409  95
36  -3.97925467856  96
37  -2.97742420903  97
38  0.022423251848  100
39  3.01937246929  103
40  5.02059278231  105
41  8.0080845738  108
42  9.02059278232  109
43  10.0211266693  110
44  13.0112878955  113
45  13.0226520605  113
46  15.0138047911  115
47  15.0219656345  115
48  22.0193724693  122
49  24.0205927823  124
50  23.0226520605  123
51  27.0144912172  127
52  28.022041904  128
53  31.0212029388  131
54  33.0194487388  133
55  33.0131946346  133
56  37.0026694347  137
57  38.0171606519  138
58  39.0199063562  139
59  39.0180758867  139
60  43.0203639736  143
61  52.0108302781  152
62  54.0223469823  154
63  54.0228045996  154
64  57.0210503997  157
65  61.0093048868  161
66  62.0198300866  162
67  65.022041904  165
68  68.022041904  168
69  71.0218130953  171
70  70.0209741301  170
71  73.0085421912  173
72  83.014338678  183
73  84.0176945389  184
74  86.019067391  186
75  91.0208978605  191
76  91.0102963911  191
77  100.011898052  200
78  99.0209741301  199
79  101.0210504  201
80  105.018075887  205
81  108.003966017  208
82  107.012889556  207
83  110.022652061  210
84  115.021355478  215
85  116.021813095  216
86  118.021889365  218
87  120.022194443  220
88  123.016016608  223
89  123.011440435  223
90  123.016169148  223
91  127.02272833  227
92  135.015101374  235
93  134.021660556  234
94  139.021736826  239
95  141.019601278  241
96  143.019448739  243
97  145.004728713  245
98  148.021584287  248
99  157.014643756  257
100  162.021889365  262
101  168.021279208  268
102  170.019372469  270
103  172.013118365  272
104  175.018762313  275
105  177.018686043  277
106  180.406795923  274
107  192.023608481  278
108  196.325580278  275
109  205.717550161  277
110  212.31132931  276
111  218.37823831  275
112  224.750208788  276
113  228.322492886  275
114  232.124225578  275
115  235.676785604  275
116  236.838095732  276
117  239.004363382  278
118  242.970702572  276
119  243.828125012  276
120  244.911868993  277
121  243.043967878  275
122  245.193837572  277
123  244.293750701  276
124  244.296725214  276
125  244.428976638  276
126  243.562600914  275
127  248.547592589  278
128  251.711864265  278
129  251.915122653  278
130  252.10640672  278
131  251.315690404  277
132  250.009773182  276
133  252.226760092  278
134  251.095576442  277
135  249.313936204  275
