Trial  Reward  #Clicks
0  -66.9795597568  33
1  -51.9805512612  48
2  -28.9828393481  71
3  -2.97894960031  97
4  25.0115929737  125
5  50.0102963911  150
6  87.017313191  187
7  115.018914852  215
8  145.019982626  245
9  177.495311329  275
10  255.692770942  276
11  254.654788699  275
12  253.744329167  274
13  255.158731454  276
14  256.860030096  277
15  256.325227913  277
16  256.680720351  277
17  255.821513966  276
18  258.204539717  278
19  256.416751389  277
20  255.153515379  275
21  256.026602824  276
22  255.432691728  276
23  255.162468663  276
24  256.677822107  277
25  255.802446575  276
26  255.117927237  276
27  256.101376742  277
28  252.956587364  273
29  255.58820537  276
30  255.002425372  275
31  256.064661336  276
32  256.146833402  277
33  255.228183282  275
34  257.142913909  277
35  255.799319523  276
36  258.344341828  278
37  256.151303561  276
38  254.541986014  275
39  253.911253498  273
40  255.443949879  275
41  260.672788316  281
