Trial  Reward  #Clicks
0  -58.9724325924  41
1  -19.975227889  80
2  19.0236154366  119
3  72.0238082157  172
4  123.446136081  194
5  171.650571542  191
6  176.656203582  195
7  176.886491681  197
8  174.836892517  194
9  175.720550346  195
10  173.780601027  193
11  175.174737845  194
12  174.335088587  194
13  176.153724925  195
14  176.228137648  195
15  175.127603361  194
16  175.488637119  195
17  175.801806725  195
18  175.645752065  195
19  174.488058782  194
20  175.828121069  195
21  174.512445335  194
22  176.04866033  195
23  176.007212829  195
24  176.039503324  195
25  176.534463597  195
26  174.087408924  193
27  176.801613946  196
28  176.785998841  196
29  175.266170068  195
30  175.752166114  195
31  175.043648074  194
32  176.943692124  196
33  177.212178432  195
34  173.737707683  193
35  177.222932613  196
36  175.645848454  195
37  176.857616267  196
38  175.08659636  195
39  175.588358843  196
40  175.960656683  195
41  176.518325097  196
42  177.370890553  196
43  176.137779204  196
44  176.376921646  196
45  175.364432454  194
46  177.736688846  196
47  176.045575865  195
48  175.891834553  195
49  176.085191965  195
