Trial  Reward  #Clicks
0  -51.986813919  48
1  -1.98550302201  98
2  64.0151138707  164
3  114.011952296  214
4  189.716904864  248
5  226.635815864  246
6  227.279466264  246
7  227.289182324  246
8  226.843785809  246
9  226.877637795  246
10  229.140048519  248
11  227.905706412  247
12  228.908405317  248
13  228.564008013  247
14  229.99561852  249
15  231.728195543  251
16  226.840084453  246
17  226.176984968  245
18  230.964696774  250
19  229.688251742  249
20  226.481361359  246
21  230.245460055  249
22  230.095555134  249
23  229.982355327  249
24  226.891749215  246
25  230.468235425  249
26  228.328817679  247
27  230.546580795  249
28  229.445024838  248
29  227.705370513  247
30  229.5546004  248
31  228.240679137  247
32  228.23836579  247
33  228.077819469  247
34  228.496920934  247
35  228.423664929  247
36  229.281394054  248
37  229.569037231  249
38  228.802762445  248
39  230.961903793  249
40  228.998780095  248
41  231.803825043  250
42  231.477411703  250
43  229.544592859  249
44  231.144906548  250
45  232.216543211  251
46  230.026077596  249
47  231.281625389  250
48  232.315168928  251
49  232.242067146  251
50  231.516507277  250
51  231.609058144  251
52  230.931864203  251
53  230.820420998  250
54  231.316634048  250
