Trial  Reward  #Clicks
0  -45.9855114992  54
1  3.01132603613  103
2  44.0199308818  144
3  90.0213282499  190
4  153.02081343  253
5  241.457312979  333
6  313.972037929  334
7  315.102802164  335
8  314.63593413  335
9  313.757799336  334
10  313.725733416  334
11  313.039773509  333
12  312.41662162  332
13  314.98071632  335
14  314.108685819  334
15  313.424049735  333
16  314.978215767  335
17  312.099198426  332
18  312.688887026  333
19  315.274825531  335
20  313.638214781  333
21  312.083974468  332
22  313.703522618  334
23  312.866132137  333
24  314.919452761  335
25  313.951298045  334
26  312.004986398  332
27  310.580921954  331
28  314.086254384  334
29  315.340648923  335
30  311.53355853  332
31  313.862087124  334
32  311.879738089  332
33  314.784422876  335
34  312.184732062  332
35  310.746546846  331
36  314.356093518  334
37  313.165610183  333
38  314.00307421  334
39  315.181054778  335
40  312.440818152  332
41  311.803912484  332
42  311.419415621  332
43  311.788467889  332
44  315.13751573  335
45  312.29122622  332
46  313.688887026  334
47  313.571288204  333
48  312.541281563  332
49  315.11515784  335
50  313.638508964  333
51  313.65946875  334
52  312.100815695  333
53  314.702198795  335
54  311.302551521  332
55  313.292476497  333
56  314.012267421  334
57  314.878634904  335
58  313.040582511  333
59  311.507229174  332
60  315.929896249  336
61  315.693520404  336
62  311.12317432  331
63  314.132073349  334
64  311.246289804  331
65  309.5127451  330
66  314.052570459  334
67  312.729851975  333
68  314.683076916  335
69  315.090152306  335
70  315.358299888  335
71  311.957842876  333
72  313.962329898  334
73  316.229374295  336
74  313.836199777  333
75  313.594233724  334
76  312.539957005  333
77  313.169434559  333
78  315.419784085  335
79  313.205912485  334
80  312.554961061  332
81  313.765889362  334
82  314.089122666  334
83  314.67601653  335
84  314.914157472  335
85  315.297845332  335
86  316.751033869  336
87  315.880694183  336
88  314.90069861  335
89  314.184142961  335
90  313.538191909  334
91  314.705950361  334
92  316.148547583  336
93  314.553562958  335
94  315.189512532  335
95  315.417283531  335
96  315.525762687  336
97  315.884886287  336
98  314.616812986  334
99  312.371758014  333
100  311.389997345  332
101  315.157520157  335
102  315.594307269  336
103  316.395955281  336
104  316.756622605  337
105  315.015650523  335
106  315.799499742  336
107  315.975421031  336
108  316.246583987  336
109  315.627035101  336
110  314.621004355  335
111  314.48288555  335
112  316.431109385  337
113  317.495683236  337
114  315.889740303  336
115  314.1877467  335
116  316.982407871  337
117  315.954386964  336
118  315.835463584  336
119  314.975126848  335
120  313.419194984  334
121  315.868338507  336
122  315.626079007  336
123  317.249746451  337
124  315.17009647  335
125  315.498625063  335
126  314.807516222  335
127  315.919894035  336
128  316.242980248  336
129  314.970199287  335
130  313.062572672  333
131  314.800676473  335
132  313.708450179  334
133  317.249158086  337
134  313.943649293  334
135  312.333734893  333
136  313.813399877  334
137  313.061762934  334
138  314.412061052  335
139  315.305346992  335
140  314.326895879  334
141  314.892240856  335
142  315.363079623  336
143  316.048598991  336
144  316.889372574  337
145  314.094270864  334
146  316.586365071  336
147  315.086916295  335
148  312.800750019  333
149  316.78214296  337
150  315.301816064  336
151  314.913863289  335
152  315.318291034  335
153  315.223564186  335
154  314.425373557  334
155  314.039331499  335
156  314.589379708  335
157  316.763315263  337
158  316.025799828  336
159  316.937397909  337
160  313.696020958  334
161  314.795969549  335
162  316.667191047  337
163  317.273428163  337
164  315.224152551  335
165  316.81523852  337
166  316.151489411  336
167  314.970199287  335
168  316.436699593  336
169  313.862234215  334
