Trial  Reward  #Clicks
0  -55.9762815109  44
1  -13.9848311988  86
2  13.0224314393  113
3  48.0273957742  148
4  83.0227072357  183
5  119.021512118  219
6  204.449271392  265
7  242.930388992  263
8  245.340920185  266
9  242.41152406  263
10  244.512281673  265
11  245.872104023  266
12  242.682448042  263
13  244.274820985  265
14  246.926803639  267
15  246.618095552  267
16  243.425038083  264
17  246.462362527  267
18  245.338438018  266
19  244.590240118  265
20  246.735309016  267
21  242.764267636  263
22  245.297436289  266
23  244.718761233  265
24  246.059369768  266
25  244.676564386  265
26  244.570015049  265
27  244.02443556  264
28  246.144645091  267
29  246.785228162  267
30  244.774472103  265
31  246.535632433  267
32  247.516418618  268
33  245.4974806  266
34  245.987111116  266
35  246.176583232  266
36  247.327719651  267
37  246.043189714  266
38  248.130617168  268
39  247.119915349  268
40  245.94460078  267
41  245.280244981  266
42  246.061078787  267
43  248.661211721  269
44  245.933055024  266
45  246.710671206  267
46  245.912921888  266
47  247.799661506  268
48  244.542159614  265
49  247.378925847  267
