Trial  Reward  #Clicks
0  10.0175325505  110
1  13.0045342803  113
2  20.0218401167  120
3  23.0189684059  123
4  29.0154921243  129
5  40.0139051262  140
6  45.0192706912  145
7  50.0129982702  150
8  50.02032869  150
9  52.0147364109  152
10  56.010050988  156
11  66.0153409817  166
12  69.021008832  169
13  78.0222935448  178
14  82.0189684059  182
15  93.0092197033  193
16  94.0225202588  194
17  96.020101976  196
18  104.008161705  204
19  112.015567696  212
20  122.013149413  222
21  135.011335701  235
22  140.010050988  240
23  143.021537831  243
24  148.013451698  248
25  152.020782118  252
26  159.017759265  259
27  167.020857689  267
28  171.020404261  271
29  176.020857689  276
30  185.01579441  285
31  190.017985979  290
32  196.020479833  296
33  202.020253119  302
34  206.01919512  306
35  219.012091414  319
36  224.017759265  324
37  229.017910407  329
38  246.018439407  346
39  288.022293545  388
40  308.008917418  408
41  338.015492124  438
42  364.017079122  464
43  392.782919064  492
44  400.923276955  493
45  407.003364436  491
46  413.520974447  490
47  418.799476744  488
48  429.964168606  492
49  438.209117229  493
50  441.438311494  490
51  446.299588967  490
52  451.158110354  491
53  453.181795167  490
54  458.270546902  492
55  456.08754864  489
56  457.622291429  490
57  460.199540829  491
58  463.484853615  491
59  460.709073775  488
60  460.891351843  488
61  465.32770075  492
62  462.682205897  489
63  465.880656231  492
64  463.042001038  489
65  465.137220924  491
66  464.495202354  490
67  464.585056675  490
68  465.624429342  491
69  463.777839158  489
70  467.048233407  492
71  464.063423246  489
72  464.995484613  490
73  463.315680373  488
74  463.342130341  488
75  467.397146275  492
76  465.537331108  490
77  467.066935046  491
78  467.524292785  491
79  464.373301251  488
80  467.721231692  491
81  464.997671647  488
82  467.230053512  490
83  469.666553562  492
84  463.785729562  486
85  469.39098041  491
86  470.110006174  492
87  467.836589073  490
88  469.29387124  491
89  466.264247275  488
90  469.875619402  491
91  468.402618396  490
92  466.504110703  488
93  468.408588531  490
94  467.564643345  489
95  464.618374566  486
96  467.459825899  489
97  467.755309831  489
98  468.742991703  490
99  466.943935891  488
100  467.838967303  489
101  469.384859131  491
102  469.433073645  491
103  470.635680403  492
104  467.909248647  489
105  470.965851579  492
106  466.661147944  488
107  470.070442311  491
108  468.838589446  490
109  468.719413445  490
110  467.778283518  489
111  469.671576788  491
112  466.829143029  488
113  466.009531813  487
114  470.833979594  492
115  468.735736855  490
116  466.872596548  488
117  469.925723199  491
118  467.608021293  489
119  467.849774004  489
120  468.784329225  490
121  469.599784017  491
122  468.929652908  490
123  469.579304184  491
124  467.69538176  489
125  467.59713902  489
126  467.621472991  489
127  468.737550567  490
128  466.576961473  488
129  469.60839915  491
130  468.982099417  490
131  469.721453872  491
132  470.946051889  492
133  466.816144758  488
134  469.751757978  491
135  466.854157142  488
136  467.840478729  489
137  469.840025301  491
138  470.83828716  492
139  467.402693967  489
140  468.789392505  490
141  468.015199663  489
142  470.701351896  492
143  470.292924331  491
144  468.114273688  489
145  470.120243823  491
146  468.748508411  490
147  471.031674215  492
148  469.161883631  490
149  466.787503221  488
150  467.138380945  488
151  469.306793939  491
152  469.761053253  491
153  470.472219598  492
154  470.161581345  491
155  469.812592906  491
156  470.158785206  491
157  466.931693335  488
