Trial  Reward  #Clicks  UnseenWeights
0  10.0211599747  110  110
1  27.0204798327  127  17
2  51.0193462626  151  26
3  93.0157944097  193  43
4  133.020706547  233  42
5  160.02259583  260  32
6  199.018968406  299  42
7  228.018590549  328  28
8  345.015567696  445  120
9  418.306569492  491  48
10  443.408336123  487  4
11  461.041365483  490  3
12  464.693008064  489  4
13  465.595974466  490  5
14  465.294329202  489  4
15  466.157167223  490  6
16  465.055372631  489  5
17  465.225408142  489  3
18  465.445169593  489  3
19  467.675626656  492  2
20  466.455976295  490  3
21  467.586074621  492  1
22  467.068370901  491  2
23  464.244829976  488  4
24  465.972999872  490  2
25  468.185657618  492  3
26  465.439088368  490  4
27  466.200131796  491  3
28  467.348287138  491  2
