Trial  Reward  #Clicks  UnseenWeights
0  10.0028717109  110  110
1  13.0157188383  113  7
2  26.0213866887  126  15
3  45.0089174179  145  20
4  55.0148875536  155  10
5  86.01073113  186  31
6  98.0068769918  198  12
7  128.021159975  228  30
8  146.021235546  246  18
9  165.020782118  265  22
10  188.015492124  288  27
11  207.010806701  307  21
12  226.017381408  326  17
13  261.017608122  361  41
14  339.019572977  439  80
15  402.199899037  491  57
16  422.303804337  492  2
17  437.955379659  490  5
18  453.960789055  492  4
19  456.716715549  488  8
20  467.927203641  492  7
21  468.300601623  492  2
22  469.645811496  493  2
