Trial  Reward  #Clicks
0  19.0  267.5
1  16.0  266.0
2  16.0  266.0
3  15.0  265.5
4  15.0  265.5
5  16.0  266.0
6  17.0  266.5
7  13.0  264.5
8  15.0  265.5
9  18.0  267.0
10  16.0  266.0
11  16.0  266.0
12  17.0  266.5
13  13.0  264.5
14  18.0  267.0
15  18.0  267.0
16  12.0  264.0
17  12.0  264.0
18  18.0  267.0
19  16.0  266.0
20  17.0  266.5
21  18.0  267.0
22  16.0  266.0
23  18.0  267.0
24  13.0  264.5
25  19.0  267.5
26  16.0  266.0
27  15.0  265.5
28  16.0  266.0
29  13.0  264.5
30  18.0  267.0
31  18.0  267.0
32  17.0  266.5
33  15.0  265.5
34  17.0  266.5
35  14.0  265.0
36  15.0  265.5
37  13.0  264.5
