Trial  Reward  #Clicks
0  161.001934626  171
1  167.001934626  177
2  183.002115997  193
3  193.001518984  203
4  188.002070655  198
5  198.002184012  208
6  215.001911955  225
7  210.001919512  220
8  217.002070655  227
9  216.001987526  226
10  216.002221797  226
11  216.001662569  226
12  228.002100883  238
13  224.001995083  234
14  218.00139807  228
15  222.001942183  232
16  223.001806155  233
17  227.002085769  237
18  221.001934626  231
19  232.002063098  242
20  225.001934626  235
21  228.001352727  238
22  229.002184012  239
23  225.001775926  235
24  225.002229354  235
25  225.001957298  235
26  228.00205554  238
27  230.002123555  240
28  223.001428298  233
29  228.001904398  238
30  220.001851498  230
31  232.001518984  242
32  230.002131112  240
33  226.001624784  236
34  226.000982427  236
35  238.001949741  248
36  230.001783484  240
37  229.001859055  239
38  228.001972412  238
39  236.001692798  246
40  226.001065556  236
41  231.00200264  241
42  232.000785942  242
43  231.001685241  241
44  232.002176455  242
45  229.001715469  239
46  235.001904398  245
47  231.001662569  241
48  234.001904398  244
49  233.001995083  243
50  233.001730584  243
51  233.001979969  243
52  244.002146226  254
53  241.002085769  251
54  232.002184012  242
55  235.001957298  245
56  239.001768369  249
57  241.00210844  251
58  234.001020213  244
59  233.002236912  243
60  244.001670127  254
61  228.002229354  238
62  228.002236912  238
63  236.001957298  246
64  236.001677684  246
65  238.001602112  248
66  231.002184012  241
67  234.001934626  244
68  235.001851498  245
69  234.002191569  244
70  242.002085769  252
71  235.001262041  245
72  232.001995083  242
73  231.002123555  241
74  230.002123555  240
75  230.002176455  240
76  236.001692798  246
77  235.000748156  245
78  231.001949741  241
79  236.002123555  246
80  234.001881726  244
81  227.001330056  237
82  238.001911955  248
83  234.001700355  244
84  238.001760812  248
85  240.001987526  250
86  231.001942183  241
87  236.002252026  246
88  236.001571884  246
89  237.002047983  247
90  236.001995083  246
91  237.001738141  247
92  239.002259583  249
93  234.002206683  244
94  237.002078212  247
95  241.001488755  251
96  231.001277156  241
97  231.001723027  241
98  235.002047983  245
99  235.000861513  245
100  237.001035327  247
101  219.00200264  229
102  236.001745698  246
103  238.002123555  248
104  230.001813712  240
105  234.001889283  244
106  232.001919512  242
107  236.002138669  246
108  234.001995083  244
109  235.00086907  245
110  232.001896841  242
111  233.001957298  243
112  236.002017755  246
113  238.001262041  248
114  235.000914413  245
115  235.002025312  245
116  235.002100883  245
117  230.002078212  240
118  236.001866612  246
119  232.002078212  242
120  242.002168897  252
121  236.002191569  246
122  234.00205554  244
123  228.00118647  238
124  240.001428298  250
125  232.00205554  242
126  233.00216134  243
127  240.001851498  250
128  230.002115997  240
129  235.002259583  245
130  238.001594555  248
131  241.002100883  251
132  234.001919512  244
133  239.001322498  249
134  234.002123555  244
135  234.002085769  244
136  240.001670127  250
137  232.002153783  242
138  243.001662569  253
139  237.001768369  247
140  228.001942183  238
141  231.001806155  241
142  240.002259583  250
143  231.001488755  241
144  232.002047983  242
145  228.002032869  238
146  243.002017755  253
147  238.000884185  248
148  242.002153783  252
149  231.001020213  241
150  235.002153783  245
151  235.001382955  245
152  231.002252026  241
153  232.001707912  242
154  237.001269598  247
155  240.001919512  250
156  234.001473641  244
157  232.002229354  242
158  236.001919512  246
159  235.001949741  245
160  233.002078212  243
161  233.002221797  243
162  234.002047983  244
163  233.001972412  243
164  229.002131112  239
