Trial  Reward  #Clicks
0  -88.9898751613  11
1  -73.9945315042  26
2  -57.9855436795  42
3  -40.9841359479  59
4  -25.9839193738  74
5  -16.9840818044  83
6  1.01088284804  101
7  17.015539191  117
8  30.0140231723  130
9  40.993680368  137
10  118.823230603  138
11  116.102363744  136
12  117.647859734  137
13  117.926668013  138
14  117.29966274  137
15  117.849760929  137
16  116.979024799  137
17  118.70698446  138
18  118.744289347  138
19  119.08847972  138
20  118.102038883  138
21  114.696341468  135
22  116.885302362  137
23  117.208430904  137
24  114.528906415  134
25  116.999034621  136
26  119.791340068  139
27  117.017845705  137
28  114.417177466  135
29  120.507194862  140
30  117.612040003  138
31  121.129327218  141
32  117.873042644  137
33  117.18699007  137
34  118.259867251  138
35  118.766434048  138
36  115.088178141  135
37  117.741094879  137
38  117.036447795  136
39  116.689117098  136
40  118.337617349  138
41  119.172131463  138
42  118.210596645  138
43  118.594799082  138
44  120.527065535  140
45  120.462688886  140
46  118.202258543  138
47  120.092184762  140
48  119.700812099  139
49  119.565128431  139
50  117.785245132  138
51  120.790961064  140
52  120.763618585  140
53  119.678721541  139
54  120.319912417  140
55  119.984222578  140
56  118.134795714  138
57  120.402318859  140
58  119.257051788  139
59  118.436483422  138
60  120.064409134  140
61  121.041668855  141
62  117.967546373  138
63  119.872122204  139
64  119.48656618  139
65  118.505191552  138
66  118.414307859  139
67  120.418616059  140
68  120.872253773  141
69  119.97304573  139
70  115.205453011  135
71  120.896076923  141
72  123.125104023  143
73  121.15932273  141
74  118.987471189  139
75  118.459927567  138
76  121.298309152  141
77  118.979891096  139
78  119.453376201  139
79  118.622033273  138
80  121.489706504  141
81  121.787766596  141
82  118.485916458  138
83  120.441596194  141
84  122.10323004  142
85  117.174807777  137
86  119.665348091  139
87  120.349853785  140
88  119.782862817  140
89  117.807366551  137
90  120.572004659  140
91  117.856498008  138
92  119.792098078  139
93  120.292948943  140
94  117.181900578  137
95  120.860156486  140
96  119.429228189  139
97  118.979241373  139
98  120.313631769  140
